count,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
234,"E., García-Seoane, Eva; P., Dalpadado, Padmini; A., Vázquez, Antonio","García-Seoane, Eva (55755182400); Dalpadado, Padmini (6603126807); Vázquez, Antonio (26434461900)",55755182400; 6603126807; 26434461900,"Feeding ecology of the glacier lanternfish Benthosema glaciale (Actinopterygii, Myctophidae) in the Flemish Cap (North Atlantic Ocean)",2013,Hydrobiologia,717,1,,133,146,0,16,10.1007/s10750-013-1579-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883264987&doi=10.1007%2Fs10750-013-1579-5&partnerID=40&md5=57ea34e6d84365dcda56f46be0c861e6,Article,Final,,Scopus,2-s2.0-84883264987
235,"L.M., Nichol, Linda M.; A.M., Hall, Anna M.; G.M., Ellis, Graeme M.; E.H., Stredulinsky, Eva H.; M., Boogaards, Melissa; J.K.B., Ford, John K.B.","Nichol, Linda M. (18437701100); Hall, Anna M. (24824662500); Ellis, Graeme M. (7202721650); Stredulinsky, Eva H. (57189452412); Boogaards, Melissa (55762470000); Ford, John K.B. (7402915618)",18437701100; 24824662500; 7202721650; 57189452412; 55762470000; 7402915618,Dietary overlap and niche partitioning of sympatric harbour porpoises and dall's porpoises in the salish sea,2013,Progress in Oceanography,115,,,202,210,0,28,10.1016/j.pocean.2013.05.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880953717&doi=10.1016%2Fj.pocean.2013.05.016&partnerID=40&md5=454582679730490eeda6c25b5f706b0e,Article,Final,,Scopus,2-s2.0-84880953717
236,"J.E., van Noord, Joel E.; R.J., Olson, Robert J.; J.V., Redfern, Jessica V.; R.S., Kaufmann, Ronald S.","van Noord, Joel E. (55565190100); Olson, Robert J. (57189468342); Redfern, Jessica V. (56232963000); Kaufmann, Ronald S. (7201476557)",55565190100; 57189468342; 56232963000; 7201476557,Diet and prey selectivity in three surface-migrating myctophids in the eastern tropical Pacific,2013,Ichthyological Research,60,3,,287,290,0,15,10.1007/s10228-013-0350-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880616373&doi=10.1007%2Fs10228-013-0350-2&partnerID=40&md5=5a21e77c4b0eaba87f2822acf14602bd,Article,Final,,Scopus,2-s2.0-84880616373
237,"J.Y., Poulsen, Jan Yde; I., Byrkjedal, Ingvar; E., Willassen, Endre; D.J., Rees, David John; H., Takeshima, Hirohiko; T.P., Satoh, Takashi P.; G., Shinohara, Gento; M., Nishida, Mutsumi; M.U., Miya, Masaki U.","Poulsen, Jan Yde (23493722200); Byrkjedal, Ingvar (6701377051); Willassen, Endre (6602221228); Rees, David John (57223601820); Takeshima, Hirohiko (35892797400); Satoh, Takashi P. (35418527200); Shinohara, Gento (6603363526); Nishida, Mutsumi (7403124383); Miya, Masaki U. (7005173446)",23493722200; 6701377051; 6602221228; 57223601820; 35892797400; 35418527200; 6603363526; 7403124383; 7005173446,Mitogenomic sequences and evidence from unique gene rearrangements corroborate evolutionary relationships of myctophiformes (Neoteleostei),2013,BMC Evolutionary Biology,13,1,111,,,0,59,10.1186/1471-2148-13-111,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878358188&doi=10.1186%2F1471-2148-13-111&partnerID=40&md5=83992f8f288994a31bbfb974f7e44ffa,Article,Final,All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-84878358188
238,"Y., Naito, Yasuhiko; D.P., Costa, Daniel P.; T., Adachi, Taiki; P.W., Robinson, Patrick W.; M.A., Fowler, Melinda A.; A., Takahashi, Akinori","Naito, Yasuhiko (7402614438); Costa, Daniel P. (24346625300); Adachi, Taiki (55617086300); Robinson, Patrick W. (26321978600); Fowler, Melinda A. (25621353300); Takahashi, Akinori (7402798902)",7402614438; 24346625300; 55617086300; 26321978600; 25621353300; 7402798902,Unravelling the mysteries of a mesopelagic diet: A large apex predator specializes on small prey,2013,Functional Ecology,27,3,,710,717,0,129,10.1111/1365-2435.12083,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878176323&doi=10.1111%2F1365-2435.12083&partnerID=40&md5=059c67b538c331506c0af6f48b2c500e,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84878176323
239,"P., Pepin, Pierre","Pepin, Pierre (57200780022)",57200780022,Distribution and feeding of Benthosema glaciale in the western Labrador Sea: Fish-zooplankton interaction and the consequence to calanoid copepod populations,2013,Deep-Sea Research Part I: Oceanographic Research Papers,75,,,119,134,0,40,10.1016/j.dsr.2013.01.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874944500&doi=10.1016%2Fj.dsr.2013.01.012&partnerID=40&md5=4070a622eb385733d70069f2588332f2,Article,Final,,Scopus,2-s2.0-84874944500
240,"P.L., Horn, Peter L.; J.S., Forman, Jeffrey S.; M.R., Dunn, Matthew R.","Horn, Peter L. (7102146711); Forman, Jeffrey S. (7103199098); Dunn, Matthew R. (7402116738)",7102146711; 7103199098; 7402116738,Moon phase influences the diet of southern Ray's bream Brama australis,2013,Journal of Fish Biology,82,4,,1376,1389,0,6,10.1111/jfb.12090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875915947&doi=10.1111%2Fjfb.12090&partnerID=40&md5=b79a654b6c755181eabd035a7d764991,Article,Final,,Scopus,2-s2.0-84875915947
241,"S.A., Hatch, Scott A.","Hatch, Scott A. (7006018916)",7006018916,Kittiwake diets and chick production signal a 2008 regime shift in the Northeast Pacific,2013,Marine Ecology Progress Series,477,,,271,284,0,71,10.3354/meps10161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875150695&doi=10.3354%2Fmeps10161&partnerID=40&md5=cbeff44a231e02ec768dda796dd0f8cd,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84875150695
242,"H., Tanaka, Hiroshige; C., Sassa, Chiyuki; S., Ohshimo, Seiji; I., Aoki, Ichiro","Tanaka, Hiroshige (23974819300); Sassa, Chiyuki (6603060140); Ohshimo, Seiji (6603119123); Aoki, Ichiro (58839636300)",23974819300; 6603060140; 6603119123; 58839636300,Feeding ecology of two lanternfishes Diaphus garmani and Diaphus chrysorhynchus,2013,Journal of Fish Biology,82,3,,1011,1031,0,29,10.1111/jfb.12051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874814658&doi=10.1111%2Fjfb.12051&partnerID=40&md5=805bbd8a8981f0be5c694f124cc3a5bc,Article,Final,,Scopus,2-s2.0-84874814658
243,"P., Battaglia, Pietro; F., Andaloro, Franco; P., Consoli, Pierpaolo; V., Esposito, Valentina; D., Malara, Danilo; S., Musolino, Simona; C., Pedà, Cristina; T., Romeo, Teresa","Battaglia, Pietro (24343082200); Andaloro, Franco (6602654623); Consoli, Pierpaolo (22933457800); Esposito, Valentina (18041519200); Malara, Danilo (36663801000); Musolino, Simona (55206928600); Pedà, Cristina (45661576000); Romeo, Teresa (7004909109)",24343082200; 6602654623; 22933457800; 18041519200; 36663801000; 55206928600; 45661576000; 7004909109,"Feeding habits of the Atlantic bluefin tuna, Thunnus thynnus (L. 1758), in the central Mediterranean Sea (Strait of Messina)",2013,Helgoland Marine Research,67,1,,97,107,0,97,10.1007/s10152-012-0307-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874370491&doi=10.1007%2Fs10152-012-0307-2&partnerID=40&md5=522d83d069175d65c3f9c5152efae0d5,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84874370491
244,"E., Dypvik, Eivind; S., Kaartvedt, Stein","Dypvik, Eivind (53983990300); Kaartvedt, Stein (7003377290)",53983990300; 7003377290,Vertical migration and diel feeding periodicity of the skinnycheek lanternfish (Benthosema pterotum) in the Red Sea,2013,Deep-Sea Research Part I: Oceanographic Research Papers,72,,,9,16,0,46,10.1016/j.dsr.2012.10.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870298618&doi=10.1016%2Fj.dsr.2012.10.012&partnerID=40&md5=373111ce178550bd52702909480b5f0c,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-84870298618
245,"K.V., Anastasopoulou, Katerina V.; C., Mytilineou, Chryssi; E., Lefkaditou, Evgenia; J., Dokos, John; C.J., Smith, Christopher J.; A., Siapatis, Apostolos; P., Bekas, Petros; K.N., Papadopoulou, Konstantia Nadia","Anastasopoulou, Katerina V. (15062454900); Mytilineou, Chryssi (7006759228); Lefkaditou, Evgenia (6602330336); Dokos, John (8300734900); Smith, Christopher J. (7501648058); Siapatis, Apostolos (14018585800); Bekas, Petros (6506979586); Papadopoulou, Konstantia Nadia (7004511277)",15062454900; 7006759228; 6602330336; 8300734900; 7501648058; 14018585800; 6506979586; 7004511277,Diet and feeding strategy of blackmouth catshark Galeus melastomus,2013,Journal of Fish Biology,83,6,,1637,1655,0,38,10.1111/jfb.12269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895855667&doi=10.1111%2Fjfb.12269&partnerID=40&md5=df7c0ce39977327e7ae3ff5650c9890a,Review,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-84895855667
